what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.testng.eclipse,6.3.2.20111203_1323,"org.testng.eclipse",1327857094381
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1327857094383
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1327857094383
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1327857094383
stopped,bundle,com.python.pydev.codecompletion,2.3.0.2011121518,"com.python.pydev.codecompletion",1327857094383
stopped,bundle,com.python.pydev.refactoring,2.3.0.2011121518,"com.python.pydev.refactoring",1327857094383
stopped,bundle,com.python.pydev.analysis,2.3.0.2011121518,"com.python.pydev.analysis",1327857094383
stopped,bundle,com.python.pydev.debug,2.3.0.2011121518,"com.python.pydev.debug",1327857094385
stopped,bundle,com.python.pydev.fastparser,2.3.0.2011121518,"com.python.pydev.fastparser",1327857094386
stopped,bundle,org.python.pydev.red_core,2.3.0.2011121518,"org.python.pydev.red_core",1327857094388
stopped,bundle,com.python.pydev,2.3.0.2011121518,"com.python.pydev",1327857094388
stopped,bundle,org.python.pydev.django,2.3.0.2011121518,"org.python.pydev.django",1327857094388
stopped,bundle,org.python.pydev.customizations,2.3.0.2011121518,"org.python.pydev.customizations",1327857094388
stopped,bundle,org.python.pydev.debug,2.3.0.2011121518,"org.python.pydev.debug",1327857094388
stopped,bundle,org.python.pydev.refactoring,2.3.0.2011121518,"org.python.pydev.refactoring",1327857094388
stopped,bundle,org.python.pydev,2.3.0.2011121518,"org.python.pydev",1327857094388
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.9,"org.tigris.subversion.subclipse.graph",1327857094388
stopped,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1327857094388
stopped,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1327857094390
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1327857094397
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1327857094397
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1327857094397
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1327857094397
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1327857094397
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1327857094397
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1327857094422
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1327857094424
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1327857094424
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1327857094424
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1327857094424
stopped,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1327857094425
stopped,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1327857094426
stopped,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1327857094427
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1327857094427
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1327857094427
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1327857094428
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1327857094428
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1327857094440
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.1.v20110830-0100,"org.eclipse.mylyn.help.ui",1327857094440
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.6.1.v20110825-0100,"org.eclipse.mylyn.tasks.bugs",1327857094440
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1327857094440
stopped,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1327857094440
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1327857094452
stopped,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1327857094477
stopped,bundle,org.python.pydev.jython,2.3.0.2011121518,"org.python.pydev.jython",1327857094477
stopped,bundle,org.python.pydev.parser,2.3.0.2011121518,"org.python.pydev.parser",1327857094477
stopped,bundle,org.python.pydev.core,2.3.0.2011121518,"org.python.pydev.core",1327857094477
stopped,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1327857094477
stopped,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1327857094477
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1327857094477
stopped,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1327857094477
stopped,bundle,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets",1327857094477
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1327857094478
